tab 	samples
azimuth	citations	dip	geologic_classes	geologic_types	lat	lithologies	lon	method_codes	orientation_quality	result_quality	result_type	sample	sample_alternatives	site	timestamp
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-014H_6A-0.15		318-U1361A-014H_6A-0.15	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-014H_6A-0.2		318-U1361A-014H_6A-0.2	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-014H_6A-0.25		318-U1361A-014H_6A-0.25	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-014H_6A-0.3		318-U1361A-014H_6A-0.3	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-014H_6A-0.35		318-U1361A-014H_6A-0.35	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-014H_6A-0.4		318-U1361A-014H_6A-0.4	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-014H_6A-0.45		318-U1361A-014H_6A-0.45	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-014H_6A-0.5		318-U1361A-014H_6A-0.5	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-014H_6A-0.55		318-U1361A-014H_6A-0.55	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-014H_6A-0.6		318-U1361A-014H_6A-0.6	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-014H_6A-0.65		318-U1361A-014H_6A-0.65	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-014H_6A-0.7		318-U1361A-014H_6A-0.7	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-014H_6A-0.75		318-U1361A-014H_6A-0.75	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-014H_6A-0.8		318-U1361A-014H_6A-0.8	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-014H_6A-0.85		318-U1361A-014H_6A-0.85	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-014H_6A-0.9		318-U1361A-014H_6A-0.9	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-014H_6A-0.95		318-U1361A-014H_6A-0.95	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-014H_6A-1		318-U1361A-014H_6A-1	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-014H_6A-1.05		318-U1361A-014H_6A-1.05	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-014H_6A-1.1		318-U1361A-014H_6A-1.1	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-014H_6A-1.15		318-U1361A-014H_6A-1.15	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-014H_6A-1.2		318-U1361A-014H_6A-1.2	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-014H_6A-1.25		318-U1361A-014H_6A-1.25	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:SP-SS-C:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H-1-W-110	CUBE2216621	318-U1361A-015H-1-W-110	2010-02-27T05:28:00Z
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:SP-SS-C:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H-2-W-59	CUBE2216631	318-U1361A-015H-2-W-59	2010-02-27T05:28:00Z
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:SP-SS-C:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H-3-W-51	CUBE2216641	318-U1361A-015H-3-W-51	2010-02-27T05:28:00Z
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:SP-SS-C:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H-4-W-58	CUBE2216651	318-U1361A-015H-4-W-58	2010-02-27T05:28:00Z
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:SP-SS-C:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H-5-W-57	CUBE2216661	318-U1361A-015H-5-W-57	2010-02-27T05:28:00Z
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:SP-SS-C:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H-6-W-125	CUBE2216671	318-U1361A-015H-6-W-125	2010-02-27T05:28:00Z
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_1A-0.1		318-U1361A-015H_1A-0.1	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_1A-0.15		318-U1361A-015H_1A-0.15	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_1A-0.2		318-U1361A-015H_1A-0.2	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_1A-0.25		318-U1361A-015H_1A-0.25	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_1A-0.3		318-U1361A-015H_1A-0.3	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_1A-0.35		318-U1361A-015H_1A-0.35	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_1A-0.4		318-U1361A-015H_1A-0.4	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_1A-0.45		318-U1361A-015H_1A-0.45	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_1A-0.5		318-U1361A-015H_1A-0.5	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_1A-0.55		318-U1361A-015H_1A-0.55	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_1A-0.6		318-U1361A-015H_1A-0.6	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_1A-0.65		318-U1361A-015H_1A-0.65	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_1A-0.7		318-U1361A-015H_1A-0.7	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_1A-0.75		318-U1361A-015H_1A-0.75	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_1A-0.8		318-U1361A-015H_1A-0.8	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_1A-0.85		318-U1361A-015H_1A-0.85	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_1A-0.9		318-U1361A-015H_1A-0.9	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_1A-0.95		318-U1361A-015H_1A-0.95	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_1A-1		318-U1361A-015H_1A-1	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_1A-1.05		318-U1361A-015H_1A-1.05	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_1A-1.1		318-U1361A-015H_1A-1.1	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_1A-1.15		318-U1361A-015H_1A-1.15	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_1A-1.2		318-U1361A-015H_1A-1.2	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_1A-1.25		318-U1361A-015H_1A-1.25	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_1A-1.3		318-U1361A-015H_1A-1.3	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_1A-1.35		318-U1361A-015H_1A-1.35	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_1A-1.4		318-U1361A-015H_1A-1.4	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_2A-0.1		318-U1361A-015H_2A-0.1	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_2A-0.15		318-U1361A-015H_2A-0.15	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_2A-0.2		318-U1361A-015H_2A-0.2	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_2A-0.25		318-U1361A-015H_2A-0.25	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_2A-0.3		318-U1361A-015H_2A-0.3	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_2A-0.35		318-U1361A-015H_2A-0.35	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_2A-0.4		318-U1361A-015H_2A-0.4	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_2A-0.45		318-U1361A-015H_2A-0.45	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_2A-0.5		318-U1361A-015H_2A-0.5	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_2A-0.55		318-U1361A-015H_2A-0.55	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_2A-0.6		318-U1361A-015H_2A-0.6	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_2A-0.65		318-U1361A-015H_2A-0.65	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_2A-0.7		318-U1361A-015H_2A-0.7	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_2A-0.75		318-U1361A-015H_2A-0.75	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_2A-0.8		318-U1361A-015H_2A-0.8	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_2A-0.85		318-U1361A-015H_2A-0.85	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_2A-0.9		318-U1361A-015H_2A-0.9	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_2A-0.95		318-U1361A-015H_2A-0.95	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_2A-1		318-U1361A-015H_2A-1	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_2A-1.05		318-U1361A-015H_2A-1.05	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_2A-1.1		318-U1361A-015H_2A-1.1	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_2A-1.15		318-U1361A-015H_2A-1.15	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_2A-1.2		318-U1361A-015H_2A-1.2	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_2A-1.25		318-U1361A-015H_2A-1.25	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_2A-1.3		318-U1361A-015H_2A-1.3	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_2A-1.35		318-U1361A-015H_2A-1.35	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_2A-1.4		318-U1361A-015H_2A-1.4	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_3A-0.1		318-U1361A-015H_3A-0.1	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_3A-0.15		318-U1361A-015H_3A-0.15	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_3A-0.2		318-U1361A-015H_3A-0.2	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_3A-0.25		318-U1361A-015H_3A-0.25	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_3A-0.3		318-U1361A-015H_3A-0.3	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_3A-0.35		318-U1361A-015H_3A-0.35	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_3A-0.4		318-U1361A-015H_3A-0.4	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_3A-0.45		318-U1361A-015H_3A-0.45	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_3A-0.5		318-U1361A-015H_3A-0.5	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_3A-0.55		318-U1361A-015H_3A-0.55	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_3A-0.6		318-U1361A-015H_3A-0.6	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_3A-0.65		318-U1361A-015H_3A-0.65	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_3A-0.7		318-U1361A-015H_3A-0.7	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_3A-0.75		318-U1361A-015H_3A-0.75	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_3A-0.8		318-U1361A-015H_3A-0.8	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_3A-0.85		318-U1361A-015H_3A-0.85	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_3A-0.9		318-U1361A-015H_3A-0.9	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_3A-0.95		318-U1361A-015H_3A-0.95	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_3A-1		318-U1361A-015H_3A-1	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_3A-1.05		318-U1361A-015H_3A-1.05	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_3A-1.1		318-U1361A-015H_3A-1.1	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_3A-1.15		318-U1361A-015H_3A-1.15	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_3A-1.2		318-U1361A-015H_3A-1.2	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_3A-1.25		318-U1361A-015H_3A-1.25	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_3A-1.3		318-U1361A-015H_3A-1.3	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_3A-1.35		318-U1361A-015H_3A-1.35	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_3A-1.4		318-U1361A-015H_3A-1.4	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_4A-0.1		318-U1361A-015H_4A-0.1	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_4A-0.15		318-U1361A-015H_4A-0.15	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_4A-0.2		318-U1361A-015H_4A-0.2	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_4A-0.25		318-U1361A-015H_4A-0.25	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_4A-0.3		318-U1361A-015H_4A-0.3	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_4A-0.35		318-U1361A-015H_4A-0.35	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_4A-0.4		318-U1361A-015H_4A-0.4	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_4A-0.45		318-U1361A-015H_4A-0.45	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_4A-0.5		318-U1361A-015H_4A-0.5	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_4A-0.55		318-U1361A-015H_4A-0.55	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_4A-0.6		318-U1361A-015H_4A-0.6	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_4A-0.65		318-U1361A-015H_4A-0.65	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_4A-0.7		318-U1361A-015H_4A-0.7	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_4A-0.75		318-U1361A-015H_4A-0.75	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_4A-0.8		318-U1361A-015H_4A-0.8	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_4A-0.85		318-U1361A-015H_4A-0.85	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_4A-0.9		318-U1361A-015H_4A-0.9	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_4A-0.95		318-U1361A-015H_4A-0.95	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_4A-1		318-U1361A-015H_4A-1	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_4A-1.05		318-U1361A-015H_4A-1.05	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_4A-1.1		318-U1361A-015H_4A-1.1	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_4A-1.15		318-U1361A-015H_4A-1.15	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_4A-1.2		318-U1361A-015H_4A-1.2	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_4A-1.25		318-U1361A-015H_4A-1.25	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_4A-1.3		318-U1361A-015H_4A-1.3	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_4A-1.35		318-U1361A-015H_4A-1.35	
0.0	This study	0	Sedimentary	Sediment Layer	-64.2457	Not Specified	143.532	SO-V:FS-C-DRILL-IODP	g	g	i	318-U1361A-015H_4A-1.4		318-U1361A-015H_4A-1.4	
