tab 	specimens
aniso_s	aniso_s_n_measurements	aniso_s_sigma	aniso_s_unit	aniso_tilt_correction	aniso_type	citations	dir_alpha95	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_measurements	dir_nrm_origin	dir_polarity	dir_tilt_correction	experiments	geologic_classes	geologic_types	int_corr	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_2A-0.85		318-U1361A-004H_2A-0.85
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_2A-0.9		318-U1361A-004H_2A-0.9
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_2A-0.95		318-U1361A-004H_2A-0.95
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_2A-1		318-U1361A-004H_2A-1
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_2A-1.05		318-U1361A-004H_2A-1.05
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_2A-1.1		318-U1361A-004H_2A-1.1
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_2A-1.15		318-U1361A-004H_2A-1.15
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_2A-1.2		318-U1361A-004H_2A-1.2
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_2A-1.25		318-U1361A-004H_2A-1.25
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_3A-0.1		318-U1361A-004H_3A-0.1
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_3A-0.15		318-U1361A-004H_3A-0.15
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_3A-0.2		318-U1361A-004H_3A-0.2
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_3A-0.25		318-U1361A-004H_3A-0.25
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_3A-0.3		318-U1361A-004H_3A-0.3
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_3A-0.35		318-U1361A-004H_3A-0.35
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_3A-0.4		318-U1361A-004H_3A-0.4
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_3A-0.45		318-U1361A-004H_3A-0.45
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_3A-0.5		318-U1361A-004H_3A-0.5
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_3A-0.55		318-U1361A-004H_3A-0.55
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_3A-0.6		318-U1361A-004H_3A-0.6
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_3A-0.65		318-U1361A-004H_3A-0.65
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_3A-0.7		318-U1361A-004H_3A-0.7
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_3A-0.75		318-U1361A-004H_3A-0.75
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_3A-1		318-U1361A-004H_3A-1
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_3A-1.05		318-U1361A-004H_3A-1.05
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_3A-1.1		318-U1361A-004H_3A-1.1
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_3A-1.15		318-U1361A-004H_3A-1.15
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_3A-1.2		318-U1361A-004H_3A-1.2
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_3A-1.25		318-U1361A-004H_3A-1.25
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_3A-1.3		318-U1361A-004H_3A-1.3
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_3A-1.35		318-U1361A-004H_3A-1.35
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_3A-1.4		318-U1361A-004H_3A-1.4
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_3A-1.45		318-U1361A-004H_3A-1.45
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_4A-0.1		318-U1361A-004H_4A-0.1
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_4A-0.15		318-U1361A-004H_4A-0.15
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_4A-0.2		318-U1361A-004H_4A-0.2
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_4A-0.25		318-U1361A-004H_4A-0.25
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_4A-0.3		318-U1361A-004H_4A-0.3
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_4A-0.35		318-U1361A-004H_4A-0.35
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_4A-0.4		318-U1361A-004H_4A-0.4
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_4A-0.45		318-U1361A-004H_4A-0.45
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_4A-0.5		318-U1361A-004H_4A-0.5
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_4A-0.55		318-U1361A-004H_4A-0.55
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_4A-0.6		318-U1361A-004H_4A-0.6
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_4A-0.65		318-U1361A-004H_4A-0.65
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_4A-0.7		318-U1361A-004H_4A-0.7
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_4A-0.75		318-U1361A-004H_4A-0.75
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_4A-0.8		318-U1361A-004H_4A-0.8
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_4A-0.85		318-U1361A-004H_4A-0.85
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_4A-0.9		318-U1361A-004H_4A-0.9
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_4A-0.95		318-U1361A-004H_4A-0.95
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_4A-1		318-U1361A-004H_4A-1
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_4A-1.05		318-U1361A-004H_4A-1.05
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_4A-1.1		318-U1361A-004H_4A-1.1
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_4A-1.15		318-U1361A-004H_4A-1.15
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_4A-1.2		318-U1361A-004H_4A-1.2
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_4A-1.25		318-U1361A-004H_4A-1.25
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_4A-1.3		318-U1361A-004H_4A-1.3
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_4A-1.35		318-U1361A-004H_4A-1.35
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_4A-1.4		318-U1361A-004H_4A-1.4
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_4A-1.45		318-U1361A-004H_4A-1.45
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_5A-0.15		318-U1361A-004H_5A-0.15
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_5A-0.2		318-U1361A-004H_5A-0.2
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_5A-0.25		318-U1361A-004H_5A-0.25
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_5A-0.3		318-U1361A-004H_5A-0.3
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_5A-0.35		318-U1361A-004H_5A-0.35
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_5A-0.4		318-U1361A-004H_5A-0.4
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_5A-0.45		318-U1361A-004H_5A-0.45
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_5A-0.5		318-U1361A-004H_5A-0.5
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_5A-0.55		318-U1361A-004H_5A-0.55
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_5A-0.6		318-U1361A-004H_5A-0.6
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_5A-0.65		318-U1361A-004H_5A-0.65
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_5A-0.7		318-U1361A-004H_5A-0.7
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_5A-0.75		318-U1361A-004H_5A-0.75
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_5A-0.8		318-U1361A-004H_5A-0.8
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_5A-0.85		318-U1361A-004H_5A-0.85
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_5A-0.9		318-U1361A-004H_5A-0.9
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_5A-0.95		318-U1361A-004H_5A-0.95
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_5A-1		318-U1361A-004H_5A-1
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_5A-1.05		318-U1361A-004H_5A-1.05
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_5A-1.1		318-U1361A-004H_5A-1.1
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_5A-1.15		318-U1361A-004H_5A-1.15
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_5A-1.2		318-U1361A-004H_5A-1.2
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_5A-1.25		318-U1361A-004H_5A-1.25
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_5A-1.3		318-U1361A-004H_5A-1.3
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_5A-1.35		318-U1361A-004H_5A-1.35
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_5A-1.4		318-U1361A-004H_5A-1.4
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_5A-1.45		318-U1361A-004H_5A-1.45
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_6A-0.1		318-U1361A-004H_6A-0.1
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_6A-0.15		318-U1361A-004H_6A-0.15
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_6A-0.2		318-U1361A-004H_6A-0.2
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_6A-0.25		318-U1361A-004H_6A-0.25
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_6A-0.3		318-U1361A-004H_6A-0.3
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_6A-0.35		318-U1361A-004H_6A-0.35
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_6A-0.4		318-U1361A-004H_6A-0.4
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_6A-0.45		318-U1361A-004H_6A-0.45
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_6A-0.5		318-U1361A-004H_6A-0.5
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_6A-0.55		318-U1361A-004H_6A-0.55
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-004H_6A-0.6		318-U1361A-004H_6A-0.6
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-005H_2A-0.1		318-U1361A-005H_2A-0.1
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-005H_2A-0.15		318-U1361A-005H_2A-0.15
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-005H_2A-0.2		318-U1361A-005H_2A-0.2
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-005H_2A-0.25		318-U1361A-005H_2A-0.25
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-005H_2A-0.3		318-U1361A-005H_2A-0.3
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-005H_2A-0.35		318-U1361A-005H_2A-0.35
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-005H_2A-0.4		318-U1361A-005H_2A-0.4
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-005H_2A-0.45		318-U1361A-005H_2A-0.45
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-005H_2A-0.5		318-U1361A-005H_2A-0.5
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-005H_2A-0.55		318-U1361A-005H_2A-0.55
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-005H_2A-0.6		318-U1361A-005H_2A-0.6
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-005H_2A-0.65		318-U1361A-005H_2A-0.65
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-005H_2A-0.7		318-U1361A-005H_2A-0.7
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-005H_2A-0.75		318-U1361A-005H_2A-0.75
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-005H_2A-0.8		318-U1361A-005H_2A-0.8
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-005H_2A-0.85		318-U1361A-005H_2A-0.85
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-005H_2A-0.9		318-U1361A-005H_2A-0.9
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-005H_2A-0.95		318-U1361A-005H_2A-0.95
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-005H_2A-1		318-U1361A-005H_2A-1
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-005H_2A-1.05		318-U1361A-005H_2A-1.05
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-005H_2A-1.1		318-U1361A-005H_2A-1.1
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-005H_2A-1.15		318-U1361A-005H_2A-1.15
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-005H_2A-1.2		318-U1361A-005H_2A-1.2
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-005H_2A-1.25		318-U1361A-005H_2A-1.25
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-005H_2A-1.3		318-U1361A-005H_2A-1.3
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-005H_2A-1.35		318-U1361A-005H_2A-1.35
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-005H_2A-1.4		318-U1361A-005H_2A-1.4
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-005H_2A-1.45		318-U1361A-005H_2A-1.45
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-005H_3A-0.1		318-U1361A-005H_3A-0.1
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-005H_3A-0.15		318-U1361A-005H_3A-0.15
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-005H_3A-0.2		318-U1361A-005H_3A-0.2
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-005H_3A-0.25		318-U1361A-005H_3A-0.25
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-005H_3A-0.3		318-U1361A-005H_3A-0.3
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-005H_3A-0.35		318-U1361A-005H_3A-0.35
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-005H_3A-0.4		318-U1361A-005H_3A-0.4
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-005H_3A-0.45		318-U1361A-005H_3A-0.45
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-005H_3A-0.5		318-U1361A-005H_3A-0.5
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-005H_3A-0.55		318-U1361A-005H_3A-0.55
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-005H_3A-0.6		318-U1361A-005H_3A-0.6
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-005H_3A-0.65		318-U1361A-005H_3A-0.65
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-005H_3A-0.7		318-U1361A-005H_3A-0.7
						This study												Sedimentary	Sediment Layer		Not Specified				SO-V:SP-SS-C:FS-C-DRILL-IODP	g	318-U1361A-005H_3A-0.75		318-U1361A-005H_3A-0.75
